"filename", "language", "YAML", "Markdown", "Groovy", "Properties", "Dart", "XML", "C++", "JSON", "HTML", "Swift", "Project.pbxproj", "comment", "blank", "total"
"/Users/bharaths/StudioProjects/SmartStock Pro/README.md", "Markdown", 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 17
"/Users/bharaths/StudioProjects/SmartStock Pro/analysis_options.yaml", "YAML", 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 22, 4, 29
"/Users/bharaths/StudioProjects/SmartStock Pro/android/app/build.gradle", "Groovy", 0, 0, 51, 0, 0, 0, 0, 0, 0, 0, 0, 5, 12, 68
"/Users/bharaths/StudioProjects/SmartStock Pro/android/app/google-services.json", "JSON", 0, 0, 0, 0, 0, 0, 0, 190, 0, 0, 0, 0, 0, 190
"/Users/bharaths/StudioProjects/SmartStock Pro/android/app/src/debug/AndroidManifest.xml", "XML", 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 4, 1, 8
"/Users/bharaths/StudioProjects/SmartStock Pro/android/app/src/main/AndroidManifest.xml", "XML", 0, 0, 0, 0, 0, 27, 0, 0, 0, 0, 0, 6, 1, 34
"/Users/bharaths/StudioProjects/SmartStock Pro/android/app/src/main/res/drawable-v21/launch_background.xml", "XML", 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 7, 2, 13
"/Users/bharaths/StudioProjects/SmartStock Pro/android/app/src/main/res/drawable/launch_background.xml", "XML", 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 7, 2, 13
"/Users/bharaths/StudioProjects/SmartStock Pro/android/app/src/main/res/values-night/styles.xml", "XML", 0, 0, 0, 0, 0, 9, 0, 0, 0, 0, 0, 9, 1, 19
"/Users/bharaths/StudioProjects/SmartStock Pro/android/app/src/main/res/values/styles.xml", "XML", 0, 0, 0, 0, 0, 9, 0, 0, 0, 0, 0, 9, 1, 19
"/Users/bharaths/StudioProjects/SmartStock Pro/android/app/src/profile/AndroidManifest.xml", "XML", 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 4, 1, 8
"/Users/bharaths/StudioProjects/SmartStock Pro/android/build.gradle", "Groovy", 0, 0, 27, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 31
"/Users/bharaths/StudioProjects/SmartStock Pro/android/gradle.properties", "Properties", 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4
"/Users/bharaths/StudioProjects/SmartStock Pro/android/gradle/wrapper/gradle-wrapper.properties", "Properties", 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5
"/Users/bharaths/StudioProjects/SmartStock Pro/android/settings.gradle", "Groovy", 0, 0, 24, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 30
"/Users/bharaths/StudioProjects/SmartStock Pro/assets/images/bg_image.svg", "XML", 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"/Users/bharaths/StudioProjects/SmartStock Pro/assets/images/logo_icon.svg", "XML", 0, 0, 0, 0, 0, 10, 0, 0, 0, 0, 0, 0, 0, 10
"/Users/bharaths/StudioProjects/SmartStock Pro/ios/Runner.xcodeproj/project.pbxproj", "Project.pbxproj", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 636, 31, 16, 683
"/Users/bharaths/StudioProjects/SmartStock Pro/ios/Runner/AppDelegate.swift", "Swift", 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 0, 0, 2, 14
"/Users/bharaths/StudioProjects/SmartStock Pro/ios/Runner/Assets.xcassets/AppIcon.appiconset/Contents.json", "JSON", 0, 0, 0, 0, 0, 0, 0, 122, 0, 0, 0, 0, 1, 123
"/Users/bharaths/StudioProjects/SmartStock Pro/ios/Runner/Assets.xcassets/LaunchImage.imageset/Contents.json", "JSON", 0, 0, 0, 0, 0, 0, 0, 23, 0, 0, 0, 0, 1, 24
"/Users/bharaths/StudioProjects/SmartStock Pro/ios/Runner/Assets.xcassets/LaunchImage.imageset/README.md", "Markdown", 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 5
"/Users/bharaths/StudioProjects/SmartStock Pro/ios/Runner/Base.lproj/LaunchScreen.storyboard", "XML", 0, 0, 0, 0, 0, 36, 0, 0, 0, 0, 0, 1, 1, 38
"/Users/bharaths/StudioProjects/SmartStock Pro/ios/Runner/Base.lproj/Main.storyboard", "XML", 0, 0, 0, 0, 0, 25, 0, 0, 0, 0, 0, 1, 1, 27
"/Users/bharaths/StudioProjects/SmartStock Pro/ios/Runner/Runner-Bridging-Header.h", "C++", 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 2
"/Users/bharaths/StudioProjects/SmartStock Pro/ios/RunnerTests/RunnerTests.swift", "Swift", 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 0, 2, 4, 13
"/Users/bharaths/StudioProjects/SmartStock Pro/ios/firebase_app_id_file.json", "JSON", 0, 0, 0, 0, 0, 0, 0, 7, 0, 0, 0, 0, 0, 7
"/Users/bharaths/StudioProjects/SmartStock Pro/lib/adminui/core/appdata.dart", "Dart", 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 1, 5
"/Users/bharaths/StudioProjects/SmartStock Pro/lib/adminui/core/dependency.dart", "Dart", 0, 0, 0, 0, 54, 0, 0, 0, 0, 0, 0, 0, 11, 65
"/Users/bharaths/StudioProjects/SmartStock Pro/lib/adminui/src/model/product.dart", "Dart", 0, 0, 0, 0, 49, 0, 0, 0, 0, 0, 0, 0, 4, 53
"/Users/bharaths/StudioProjects/SmartStock Pro/lib/adminui/src/view/screens/add_product/add_product.dart", "Dart", 0, 0, 0, 0, 80, 0, 0, 0, 0, 0, 0, 0, 7, 87
"/Users/bharaths/StudioProjects/SmartStock Pro/lib/adminui/src/view/screens/add_product/add_product_controller.dart", "Dart", 0, 0, 0, 0, 77, 0, 0, 0, 0, 0, 0, 1, 8, 86
"/Users/bharaths/StudioProjects/SmartStock Pro/lib/adminui/src/view/screens/admin_home_page/dashboard.dart", "Dart", 0, 0, 0, 0, 56, 0, 0, 0, 0, 0, 0, 0, 4, 60
"/Users/bharaths/StudioProjects/SmartStock Pro/lib/adminui/src/view/screens/admin_home_page/home_page.dart", "Dart", 0, 0, 0, 0, 120, 0, 0, 0, 0, 0, 0, 0, 8, 128
"/Users/bharaths/StudioProjects/SmartStock Pro/lib/adminui/src/view/screens/admin_home_page/home_page_controller.dart", "Dart", 0, 0, 0, 0, 97, 0, 0, 0, 0, 0, 0, 0, 14, 111
"/Users/bharaths/StudioProjects/SmartStock Pro/lib/adminui/src/view/screens/all_product_screen/all_product_controller.dart", "Dart", 0, 0, 0, 0, 48, 0, 0, 0, 0, 0, 0, 0, 7, 55
"/Users/bharaths/StudioProjects/SmartStock Pro/lib/adminui/src/view/screens/all_product_screen/all_products.dart", "Dart", 0, 0, 0, 0, 78, 0, 0, 0, 0, 0, 0, 0, 4, 82
"/Users/bharaths/StudioProjects/SmartStock Pro/lib/adminui/src/view/screens/all_product_screen/product_detail_screen.dart", "Dart", 0, 0, 0, 0, 142, 0, 0, 0, 0, 0, 0, 0, 7, 149
"/Users/bharaths/StudioProjects/SmartStock Pro/lib/adminui/src/view/screens/orders_screen/order_detail_screen.dart", "Dart", 0, 0, 0, 0, 129, 0, 0, 0, 0, 0, 0, 0, 6, 135
"/Users/bharaths/StudioProjects/SmartStock Pro/lib/adminui/src/view/screens/orders_screen/order_screen.dart", "Dart", 0, 0, 0, 0, 58, 0, 0, 0, 0, 0, 0, 0, 4, 62
"/Users/bharaths/StudioProjects/SmartStock Pro/lib/adminui/src/view/screens/orders_screen/order_screen_controller.dart", "Dart", 0, 0, 0, 0, 80, 0, 0, 0, 0, 0, 0, 0, 13, 93
